created_at,id,withheld_x,author_id,conversation_id,text,retweet_count,reply_count,like_count,quote_count,media_keys,user_created_at,description,location,name,pinned_tweet_id,profile_image_url,protected,url,username,verified,withheld_y,followers_count,following_count,tweet_count,listed_count
2022-06-02 10:21:33+00:00,1532306416035368960,,1524427707731304448,1.532306416035369e+18,"RT @rpujolvives: However Norway is still selling oil https:tcoXmS9yzbnRc
RenewableEnergy EnergyTransition:
Wind Power ClimateAct",3.0,0.0,0.0,0.0,,2022-05-11 16:34:52+00:00,"Human rights are NOT radical #NotMeUs
f#ck AIPAC. Cancer didn't take me, You will not either.",United States ,PhobiaFreeZone 🏳️‍🌈,,https://pbs.twimg.com/profile_images/1530255148504731656/0wk9TdXm_normal.jpg,False,,judyCowling4,False,,95,468,13367,0
2022-06-02 10:20:20+00:00,1532306111801565184,,1095261895643332608,1.5323061118015652e+18,"RT @rpujolvives: However Norway is still selling oil https:tcoXmS9yzbnRc
RenewableEnergy EnergyTransition:
Wind Power ClimateAct",3.0,0.0,0.0,0.0,,2019-02-12 10:02:39+00:00,"The latest tweets on #GreenNewDeal, #FridaysForFuture, #Schoolstrike4climate,","Berlin, Deutschland",GreenNewDeal,,https://pbs.twimg.com/profile_images/1095281383357014016/ptLqWqIS_normal.jpg,False,,GreenNewDeal_EU,False,,7778,6,96419,81
2022-05-29 11:20:19+00:00,1530871653529436160,,1095261895643332608,1.5308716535294362e+18,RT @Feenwald: FridaysForFuture divest endcoal YouthStrike4Climate schulstreik VolksbegehrenArtenvielfalt rettetdiebienen ClimateEme,1.0,0.0,0.0,0.0,,2019-02-12 10:02:39+00:00,"The latest tweets on #GreenNewDeal, #FridaysForFuture, #Schoolstrike4climate,","Berlin, Deutschland",GreenNewDeal,,https://pbs.twimg.com/profile_images/1095281383357014016/ptLqWqIS_normal.jpg,False,,GreenNewDeal_EU,False,,7778,6,96419,81
2022-05-29 11:20:13+00:00,1530871631962324992,,1095261895643332608,1.530871631962325e+18,RT @Feenwald: FridaysForFuture divest endcoal YouthStrike4Climate schulstreik VolksbegehrenArtenvielfalt rettetdiebienen ClimateEme,2.0,0.0,0.0,0.0,,2019-02-12 10:02:39+00:00,"The latest tweets on #GreenNewDeal, #FridaysForFuture, #Schoolstrike4climate,","Berlin, Deutschland",GreenNewDeal,,https://pbs.twimg.com/profile_images/1095281383357014016/ptLqWqIS_normal.jpg,False,,GreenNewDeal_EU,False,,7778,6,96419,81
2022-05-29 11:20:04+00:00,1530871593555075072,,1095261895643332608,1.530871593555075e+18,RT @Feenwald: FridaysForFuture divest endcoal YouthStrike4Climate schulstreik VolksbegehrenArtenvielfalt rettetdiebienen ClimateEme,1.0,0.0,0.0,0.0,,2019-02-12 10:02:39+00:00,"The latest tweets on #GreenNewDeal, #FridaysForFuture, #Schoolstrike4climate,","Berlin, Deutschland",GreenNewDeal,,https://pbs.twimg.com/profile_images/1095281383357014016/ptLqWqIS_normal.jpg,False,,GreenNewDeal_EU,False,,7778,6,96419,81
2022-05-29 08:20:02+00:00,1530826283952877570,,1095261895643332608,1.5308262839528776e+18,RT @Feenwald: FridaysForFuture divest endcoal YouthStrike4Climate schulstreik VolksbegehrenArtenvielfalt rettetdiebienen ClimateEme,2.0,0.0,0.0,0.0,,2019-02-12 10:02:39+00:00,"The latest tweets on #GreenNewDeal, #FridaysForFuture, #Schoolstrike4climate,","Berlin, Deutschland",GreenNewDeal,,https://pbs.twimg.com/profile_images/1095281383357014016/ptLqWqIS_normal.jpg,False,,GreenNewDeal_EU,False,,7778,6,96419,81
2022-05-29 08:19:59+00:00,1530826274607857664,,1095261895643332608,1.5308262746078577e+18,RT @Feenwald: FridaysForFuture divest endcoal YouthStrike4Climate schulstreik VolksbegehrenArtenvielfalt rettetdiebienen ClimateEme,2.0,0.0,0.0,0.0,,2019-02-12 10:02:39+00:00,"The latest tweets on #GreenNewDeal, #FridaysForFuture, #Schoolstrike4climate,","Berlin, Deutschland",GreenNewDeal,,https://pbs.twimg.com/profile_images/1095281383357014016/ptLqWqIS_normal.jpg,False,,GreenNewDeal_EU,False,,7778,6,96419,81
2022-05-23 21:20:02+00:00,1528848251629277185,,1095261895643332608,1.5288482516292772e+18,RT @Feenwald: FridaysForFuture divest endcoal YouthStrike4Climate schulstreik VolksbegehrenArtenvielfalt rettetdiebienen ClimateEme,2.0,0.0,0.0,0.0,,2019-02-12 10:02:39+00:00,"The latest tweets on #GreenNewDeal, #FridaysForFuture, #Schoolstrike4climate,","Berlin, Deutschland",GreenNewDeal,,https://pbs.twimg.com/profile_images/1095281383357014016/ptLqWqIS_normal.jpg,False,,GreenNewDeal_EU,False,,7778,6,96419,81
2022-05-23 19:20:17+00:00,1528818115991285763,,1095261895643332608,1.5288181159912858e+18,RT @Feenwald: FridaysForFuture divest endcoal YouthStrike4Climate schulstreik VolksbegehrenArtenvielfalt rettetdiebienen ClimateEme,2.0,0.0,0.0,0.0,,2019-02-12 10:02:39+00:00,"The latest tweets on #GreenNewDeal, #FridaysForFuture, #Schoolstrike4climate,","Berlin, Deutschland",GreenNewDeal,,https://pbs.twimg.com/profile_images/1095281383357014016/ptLqWqIS_normal.jpg,False,,GreenNewDeal_EU,False,,7778,6,96419,81
2022-05-23 19:20:08+00:00,1528818077491666944,,1095261895643332608,1.528818077491667e+18,RT @Feenwald: FridaysForFuture divest endcoal YouthStrike4Climate schulstreik VolksbegehrenArtenvielfalt rettetdiebienen ClimateEme,2.0,0.0,0.0,0.0,,2019-02-12 10:02:39+00:00,"The latest tweets on #GreenNewDeal, #FridaysForFuture, #Schoolstrike4climate,","Berlin, Deutschland",GreenNewDeal,,https://pbs.twimg.com/profile_images/1095281383357014016/ptLqWqIS_normal.jpg,False,,GreenNewDeal_EU,False,,7778,6,96419,81
